OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
3016,Entertainment: Board Games,Easy,Multiple Choice,How many spaces are there on a standard Monopoly board?,40,28,55,36
3017,History,Easy,True / False,The Spitfire originated from a racing plane.,True,False,,
3018,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,Which anime did Seiji Kishi NOT direct?,Another,Humanity Has Declined,Assassination Classroom,Danganronpa: The Animation
3019,Geography,Hard,Multiple Choice,"What is the name of the formerly rich fishing grounds off the island of Newfoundland, Canada?",Grand Banks,Great Barrier Reef,Mariana Trench,Hudson Bay
3020,Sports,Easy,Multiple Choice,What year did the New Orleans Saints win the Super Bowl?,2010,2008,2009,2011
3021,Entertainment: Video Games,Easy,Multiple Choice,"Which character in the ""Animal Crossing"" series uses the phrase ""zip zoom"" when talking to the player?",Scoot,Drake,Bill,Mallary
3022,Entertainment: Comics,Hard,Multiple Choice,"Better known by his nickname Logan, what is Wolverine's birth name?",James Howlett,Logan Wolf,Thomas Wilde,John Savage
3023,Science & Nature,Easy,True / False,Igneous rocks are formed by excessive heat and pressure.,False,True,,
3024,Entertainment: Film,Medium,Multiple Choice,"Who played Baron Victor Frankestein in the 1957 Hammer horror film ""The Curse of Frankenstein""?",Peter Cushing,Boris Karloff,Vincent Price,Lon Chaney Jr.
3025,Entertainment: Music,Hard,Multiple Choice,"Who is a pioneer of ""Minimal Music"" in 1960s?",Steve Reich,Wolfgang Amadeus Mozart,Brian Eno,Sigur Rós
3026,Entertainment: Comics,Medium,Multiple Choice,"In the Hellboy universe, who founded the BPRD?",Trevor Bruttenholm,Kate Corrigan,Johann Kraus,Benjamin Daimio
3027,Entertainment: Music,Easy,Multiple Choice,"According to a song by Belinda Carlisle, Heaven is a place on what?",Earth,Venus,Mars,Uranus
3028,Entertainment: Video Games,Easy,Multiple Choice,"In Overwatch, which ape species is the hero Winston?",Gorilla,Orangutan,Chimpanzee,Gibbon
3029,Entertainment: Television,Hard,Multiple Choice,Who played the sun baby in the original run of Teletubbies?,Jessica Smith,Pui Fan Lee,Sue Monroe,Lisa Brockwell
3030,Entertainment: Video Games,Medium,Multiple Choice,"In Left 4 Dead, what is the name of the Special Infected that is unplayable in Versus mode?",The Witch,The Tank,The Smoker,The Spitter
3031,Entertainment: Books,Medium,Multiple Choice,"The book ""The Little Prince"" was written by...",Antoine de Saint-Exupéry,Miguel de Cervantes Saavedra,Jane Austen,F. Scott Fitzgerald
3032,Entertainment: Music,Hard,Multiple Choice,"Dallon Weekes, former touring basist of Panic! At the Disco, created his own band in 2016 called...",I Don't Know How But They Found Me,Cheats At Hide And Seek,Where Did You All Come From?,Run Away From The People
3033,Entertainment: Video Games,Easy,Multiple Choice,"In Slay the Spire, which of the following is NOT a playable character?",Stoneheart,Silent,Defect,Ironclad
3034,Science & Nature,Easy,Multiple Choice,Which of the following bones is not in the leg?,Radius,Patella,Tibia,Fibula 
3035,Entertainment: Books,Easy,Multiple Choice,"""Green Eggs And Ham"" is a book by which author?",Dr. Seuss,Beatrix Potter,Roald Dahl,A.A. Milne
3036,Sports,Easy,Multiple Choice,Who did Steven Gerrard win the Champions League with?,Liverpool,Real Madrid,Chelsea,Man City
3037,Entertainment: Film,Medium,True / False,"Joan Cusack starred in the 2009 disaster movie, ""2012"".",False,True,,
3038,Geography,Medium,True / False,The flag of South Africa features 7 colours.,False,True,,
3039,General Knowledge,Medium,True / False,Coca-Cola's original colour was green.,False,True,,
3040,Entertainment: Film,Easy,Multiple Choice,Who portrayed Han Solo in the Star Wars main film series?,Harrison Ford,Peter Cushing,Mark Hamill,Alec Guinness
3041,History,Hard,Multiple Choice,"Who invented the ""Flying Shuttle"" in 1738; one of the key developments in the industrialization of weaving?",John Kay,James Hargreaves,Richard Arkwright,John Deere
3042,Entertainment: Film,Medium,Multiple Choice,"Which actor played the main character in the 1990 film ""Edward Scissorhands""?",Johnny Depp, Clint Eastwood,Leonardo DiCaprio,Ben Stiller
3043,Geography,Medium,Multiple Choice,Which Oceanian nation is known in Māori as Aotearoa?,New Zealand,Australia,Solomon Islands,New Caledonia
3044,Geography,Easy,Multiple Choice,"Where would you find the ""Spanish Steps""?","Rome, Italy","Barcelona, Spain","Berlin, Germany","London, England"
3045,Entertainment: Film,Medium,Multiple Choice,"Who performed the opening theme song for the James Bond 007 movie ""Goldfinger""?",Shirley Basey,Tom Jones,John Barry,Sheena Easton
3046,Entertainment: Music,Hard,True / False,"Pete Townshend's solo album, ""White City: A Novel"", is set in the metropolitan area of Chicago.",False,True,,
3047,Entertainment: Video Games,Hard,Multiple Choice,"In the game Warframe, what Mastery Rank do you need to have to build the Tigris Prime?",13,6,18,10
3048,Animals,Easy,Multiple Choice,What colour is the female blackbird?,Brown,Black,White,Yellow
3049,Entertainment: Film,Hard,Multiple Choice,What did the first moving picture depict?,A galloping horse,A woman in a dress,A man walking,A crackling fire
3050,Science & Nature,Hard,Multiple Choice,An organic compound is considered an alcohol if it has what functional group?,Hydroxyl,Carbonyl,Alkyl,Aldehyde
3051,Entertainment: Video Games,Medium,Multiple Choice,"During the events of Half-Life: Opposing Force, what is the age of Adrian Shephard, the protagonist?",22,23,21,24
3052,Science: Computers,Hard,Multiple Choice,"Australia, Japan, and Southeast Asia are in which ITU Region?",Region 3,Region 1,Region 2,Region 4
3053,Entertainment: Film,Medium,Multiple Choice,Which one of these actors is said to be cut from the film 'E.T. the Extra-Terrestrial'?,Harrison Ford,Michael J. Fox,Andy Kaufman,Arnold Schwarzenegger
3054,Science & Nature,Hard,True / False,Albert Einstein won a noble prize for his theory of relativity.,False,True,,
3055,Entertainment: Television,Medium,Multiple Choice,What was Nickelodeon's original name?,Pinwheel,MTVKids,KidsTV,Splat!
3056,Science & Nature,Easy,Multiple Choice,The biggest distinction between a eukaryotic cell and a prokaryotic cell is:,The presence or absence of a nucleus,The overall size,The presence or absence of certain organelles,The mode of reproduction
3057,Geography,Hard,Multiple Choice,Which of these is NOT a province in China?,Yangtze,Fujian,Sichuan,Guangdong
3058,Sports,Medium,Multiple Choice,"The 1988 Formula 1 season had McLaren win all but one race, what race did they not win?",Italian Grand Prix,Japanese Grand Prix,Monaco Grand Prix,Brazilian Grand Prix
3059,General Knowledge,Medium,Multiple Choice,Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,Taipei 101,One Detroit Center,Westendstrasse 1
3060,Entertainment: Video Games,Medium,Multiple Choice,"In Grand Theft Auto: V, what wanted level does the player receive if they enter Zancudo Army Base north of Los Santos?",4,3,5,1
3061,Entertainment: Video Games,Medium,Multiple Choice,What was the name of the first MMORPG to popularize the genre?,Ultima Online,World of Warcraft,Meridian 59,Guild Wars
3062,Entertainment: Video Games,Medium,Multiple Choice,Which Touhou character is a Hell Raven?,Utsuho Reiuji,Flandre Scarlet,Marisa Kirisame,Aya Shameimaru
3063,Science & Nature,Medium,Multiple Choice,How many officially recognized dwarf planets in the solar system are named after Polynesian deities?,2,0,1,5
3064,History,Easy,Multiple Choice,Which South American country fought Great Britain over the Falkland Islands in 1982?,Argentina,Brazil,Chile,Venezuela
3065,Entertainment: Film,Easy,Multiple Choice,Where does the original Friday The 13th movie take place?,Camp Crystal Lake,Packanack,Higgins Haven,Camp Forest Green
3066,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,"Which anime heavily features music from the genre ""Eurobeat""?",Initial D,Wangan Midnight,Kino no Tabi,Cowboy Bebop
3067,General Knowledge,Medium,Multiple Choice,What is the world's most expensive spice by weight?,Saffron,Cinnamon,Cardamom,Vanilla
3068,General Knowledge,Easy,Multiple Choice,What is the name of NASA’s most famous space telescope?,Hubble Space Telescope,Big Eye,Death Star,Millenium Falcon
3069,Entertainment: Music,Medium,Multiple Choice,"""The Genius"" is the original and secondary name of which Wu-Tang Clan member?",GZA,Ghostface Killah,Ol' Dirty Bastard,Raekwon the Chef
3070,History,Medium,Multiple Choice,When was the Grand Patriotic War in the USSR concluded?,"May 9th, 1945","September 2nd, 1945","August 9th, 1945","December 11th, 1945"
3071,Celebrities,Medium,Multiple Choice,Which of these celebrities was not a member of the Jackson 5?,Bo Jackson,Tito Jackson,Jermaine Jackson,Marlon Jackson
3072,Entertainment: Music,Medium,Multiple Choice,Which of these is not a song on the album Graduation by Kanye West?,Waves,I Wonder,Big Brother,The Glory
3073,History,Medium,Multiple Choice,What date was the first flight of the P-40 Warhawk?,October 14 1938,August 21 1939,January 12 1940,June 1 1939
3074,Entertainment: Television,Hard,Multiple Choice,Which of these in the Star Trek series is NOT Klingon food?,Hors d'oeuvre,Racht,Gagh,Bloodwine
3075,Entertainment: Books,Medium,Multiple Choice,How many books are in the Chronicles of Narnia series?,7,6,8,5
3076,General Knowledge,Easy,Multiple Choice,"Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?   ",Richard Branson,Alan Sugar,Donald Trump,Bill Gates
3077,Mythology,Medium,Multiple Choice,"The Norse god Odin has two pet crows named ""Huginn"" and ""Muninn"".  What do their names mean?",Thought & Memory,Power & Peace,War & Learning,Sleeping & Waking
3078,Entertainment: Video Games,Hard,Multiple Choice,"In the game Danganronpa: Happy Trigger Havoc, the character Aoi Asahina's ultimate ability is what?",Ultimate Swimmer,Ultimate Detective,Ultimate Gambler,Ultimate Dancer
3079,General Knowledge,Easy,Multiple Choice,What geometric shape is generally used for stop signs?,Octagon,Hexagon,Circle,Triangle
3080,Animals,Medium,True / False,Otters have pockets under their arms for carrying their favourite snacks and rocks.,True,False,,
3081,General Knowledge,Easy,Multiple Choice,Five dollars is worth how many nickels?,100,50,25,69
3082,Entertainment: Video Games,Medium,Multiple Choice,What was the original release date of Grand Theft Auto V?,"September 17, 2013","August 17, 2013","April 14, 2015","November 18, 2014"
3083,Entertainment: Video Games,Medium,Multiple Choice,"Which weapon that was cut from the game ""Half Life 2"" was going to replace the crowbar?",Ice Axe,Fire Axe,Wrench,Hunting Knife
3084,Entertainment: Video Games,Easy,Multiple Choice,"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?",1,3,2,5
3085,Entertainment: Comics,Medium,Multiple Choice,Who created Ultron of Earth-616?,Henry Pym,Amadeus Cho,Tony Stark,Reed Richards
3086,Entertainment: Video Games,Medium,Multiple Choice,"In ""Call Of Duty: Zombies"", completing which map's main easter egg will reward you with the achievement, ""High Maintenance""?",Die Rise,Mob Of The Dead,Origins,Ascension
3087,General Knowledge,Easy,True / False,The National Animal of Scotland is the Unicorn.,True,False,,
3088,Entertainment: Music,Easy,Multiple Choice,Where does the Mac part of the name Fleetwood Mac come from?,John McVie,Christine McVie,Mac McAnally,David Tennant
3089,Entertainment: Television,Medium,Multiple Choice,"What breed of dog is ""Scooby Doo""?",Great Dane,Pit bull,Boxer,Doberman Pinscher
3090,Entertainment: Video Games,Medium,True / False,"The Sniper's SMG in Team Fortress 2, was originally intended to be the Scout's primary weapon.",True,False,,
3091,Geography,Easy,Multiple Choice,In which Indian city can the Taj Mahal be found?,Agra,Mumbai,Faridabad,Thane
3092,Entertainment: Music,Hard,Multiple Choice,"Who wrote the song ""You Know You Like It""?",AlunaGeorge,DJ Snake,Steve Aoki,Major Lazer
3093,Science & Nature,Easy,Multiple Choice,Which type of rock is created by intense heat AND pressure?,Metamorphic,Sedimentary,Igneous,Diamond
3094,History,Hard,Multiple Choice,"Which country did the Eureka Rebellion, an 1856 battle against colonial rule, take place in?",Australia,India,Canada,Brazil
3095,Science & Nature,Medium,Multiple Choice,"On the periodic table of elements, what is the symbol for Tin?",Sn,Ti,Ni,Na
3096,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In ""To Love-Ru: Darkness"", which of the girls attempt making a harem for Rito Yuuki?",Momo Deviluke,Yami (Golden Darkness),Haruna Sairenji,Mea Kurosaki
3097,Entertainment: Film,Easy,True / False,"Brandon Routh plays the titular character in the movie ""John Wick"".",False,True,,
3098,Art,Easy,Multiple Choice,What is another name for La Gioconda / La Joconde?,The Mona Lisa,The Girl with a Pearl Earring,The Starry Night,Sunflowers
3099,Entertainment: Music,Hard,Multiple Choice,"This album, now considered to be one of the greatest of all time, was a commercial failure when it was released.",The Velvet Underground and Nico,Abbey Road,Led Zeppelin IV,Pet Sounds
3100,Science: Computers,Easy,Multiple Choice,What kind of memory is used on memory cache?,SRAM,DRAM,ROM,Flash
3101,Science: Computers,Medium,Multiple Choice,In the server hosting industry IaaS stands for...,Infrastructure as a Service,Internet as a Service,Internet and a Server,Infrastructure as a Server
3102,History,Hard,Multiple Choice,When did the French Revolution begin?,May 05 1789,April 12 1789,April 05 1789,May 06 1799
3103,Entertainment: Board Games,Medium,Multiple Choice,"In ""Magic: The Gathering"", during the design for Planar Chaos, what color did the developers think of adding in as the sixth color?",Purple,Brown,Pink,Orange
3104,General Knowledge,Hard,Multiple Choice,"Originally another word for poppy, coquelicot is a shade of what?",Red,Green,Blue,Pink
3105,Entertainment: Music,Medium,Multiple Choice,What song by Tina Turner is the theme for Mad Max Beyond Thunderdome?,We Don't Need Another Hero,Let's Stay Together,What's Love Got To Do With It,I Don't Wanna Lose You
3106,Entertainment: Video Games,Easy,Multiple Choice,"In Counter-Strike: Global Offensive, what's the rarity of discontinued skins called?",Contraband,Discontinued,Diminished,Limited
